Id_produktu,Producent,Nazwa,Pojemnosc,Jednostka,Cena_netto,VAT,Cena_brutto,Cena_strona,Marza,Status
723,HempKing,Miedź Chelatowana,30,kapsułki,127.2,0.08,137.38,168.98,0.23,Aktywny
724,MyVita,Witamina A,20,ml,90.25,0.05,94.76,113.71,0.2,Aktywny
725,Kenay,Probiotyk 10 szczepów,90,kapsułki,53.25,0.23,65.5,76.63,0.17,Aktywny
726,Diochi,Cynk organiczny,20,ml,71.5,0.05,75.08,96.1,0.28,Aktywny
727,MyVita,Magnez 4 formy,90,kapsułki,91.5,0.23,112.55,167.7,0.49,Aktywny
728,Pileje,Maca Bio,90,tabletki,93.26,0.23,114.71,167.48,0.46,Aktywny
729,Formeds,Melatonina 1mg,1000,ml,116.92,0.05,122.77,141.19,0.15,Aktywny
730,Pileje,Maca Bio,20,ml,74.76,0.05,78.5,116.97,0.49,Aktywny
731,Wish,Żelazo w płynie,1000,ml,120.13,0.05,126.14,141.28,0.12,Aktywny
732,Yango,Witamina D,150,ml,93.3,0.05,97.97,136.18,0.39,Aktywny
733,Aliness,Melatonina 1mg,300,tabletki,71.54,0.08,77.26,96.58,0.25,Aktywny
734,Medica Herbs,Selen + E,120,tabletki,101.94,0.23,125.39,180.56,0.44,Aktywny
735,Pharmovit,Omega-3 z alg,30,ml,99.46,0.05,104.43,123.23,0.18,Aktywny
736,Progress Labs,Omega-3 z alg,60,kapsułki,145.75,0.08,157.41,193.61,0.23,Aktywny
737,Diochi,Witamina E naturalna,90,kapsułki,106.56,0.23,131.07,193.98,0.48,Aktywny
738,NatVita,Witamina D,300,kapsułki,54.25,0.23,66.73,75.4,0.13,Aktywny
739,Star Life,Cynk organiczny,120,kapsułki,98.6,0.08,106.49,133.11,0.25,Aktywny
740,Health Labs,Kolagen Type II,60,kapsułki,108.26,0.08,116.92,139.13,0.19,Aktywny
741,Progress Labs,Melatonina 1mg,30,tabletki,66.75,0.23,82.1,112.48,0.37,Nieaktywny
742,HempKing,Krzem Organiczny,50,ml,149.12,0.05,156.58,201.99,0.29,Aktywny
743,Biowen,Potas,60,kapsułki,88.29,0.08,95.35,106.79,0.12,Aktywny
744,Organis,Różeniec górski,90,tabletki,74.52,0.08,80.48,108.65,0.35,Aktywny
745,MyVita,Kurkumina C3,150,ml,146.77,0.05,154.11,181.85,0.18,Nieaktywny
746,Diochi,Bacopa Monnieri,30,ml,107.75,0.05,113.14,149.34,0.32,Aktywny
747,HempKing,Ginkgo Biloba,20,ml,86.26,0.05,90.57,118.65,0.31,Nieaktywny
748,Diochi,Miedź Chelatowana,1000,ml,121.53,0.05,127.61,167.17,0.31,Aktywny
749,Health Labs,Synbiotyk z Inuliną,30,tabletki,134.1,0.08,144.83,201.31,0.39,Aktywny
750,Biowen,Maca Bio,120,tabletki,125.11,0.08,135.12,181.06,0.34,Aktywny
751,Progress Labs,Melatonina 1mg,180,tabletki,52.93,0.08,57.16,78.88,0.38,Aktywny
752,Aliness,Witamina E naturalna,150,ml,66.81,0.05,70.15,92.6,0.32,Aktywny
753,UNS,Witamina C,30,kapsułki,74.82,0.23,92.03,103.07,0.12,Aktywny
754,Health Labs,Ginkgo Biloba,50,ml,149.02,0.05,156.47,211.23,0.35,Aktywny
755,NatVita,Probiotyk 10 szczepów,90,tabletki,119.83,0.08,129.42,142.36,0.1,Aktywny
756,Formeds,Maślan sodu,180,kapsułki,82.56,0.08,89.16,117.69,0.32,Aktywny
757,UNS,Melatonina 1mg,30,kapsułki,133.93,0.08,144.64,201.05,0.39,Aktywny
758,Yango,Melatonina 1mg,30,ml,116.19,0.05,122.0,146.4,0.2,Aktywny
759,Pharmovit,Witamina A,60,tabletki,123.38,0.08,133.25,150.57,0.13,Aktywny
760,NatVita,Kolagen Type II,1000,ml,54.53,0.05,57.26,80.74,0.41,Aktywny
761,Inwet Herbs,Witamina C,60,kapsułki,71.2,0.23,87.58,129.62,0.48,Aktywny
762,Mito-Pharma,Potas,500,ml,135.05,0.05,141.8,174.41,0.23,Aktywny
763,UNS,Bacopa Monnieri,90,kapsułki,78.57,0.08,84.86,109.47,0.29,Nieaktywny
764,Lab One,Witamina K2 MK-7,90,kapsułki,64.92,0.23,79.85,115.78,0.45,Aktywny
765,Wish,Omega-3 z alg,30,ml,65.86,0.05,69.15,86.44,0.25,Aktywny
766,Solgar,Synbiotyk z Inuliną,60,tabletki,64.99,0.08,70.19,89.84,0.28,Aktywny
767,NatVita,Żeń-Szeń Koreański,180,kapsułki,80.52,0.08,86.96,105.22,0.21,Nieaktywny
768,MyVita,Selen + E,180,tabletki,123.08,0.08,132.93,174.14,0.31,Aktywny
769,Invent Farm,Bacopa Monnieri,30,ml,78.9,0.05,82.85,120.96,0.46,Aktywny
770,Progress Labs,Witamina A,180,tabletki,148.12,0.23,182.19,225.92,0.24,Aktywny
771,Formeds,Witamina D,180,tabletki,64.9,0.08,70.09,98.13,0.4,Aktywny
772,NatVita,Miedź Chelatowana,180,kapsułki,131.76,0.08,142.3,203.49,0.43,Aktywny
773,Pharmovit,Selen + E,120,kapsułki,103.36,0.23,127.13,181.8,0.43,Aktywny
774,Formeds,Ashwagandha Extra,300,kapsułki,78.41,0.23,96.44,134.05,0.39,Aktywny
775,Pharmovit,Witamina K2 MK-7,150,ml,142.14,0.05,149.25,194.03,0.3,Aktywny
776,Alto Pharma,Witamina D,60,tabletki,103.3,0.23,127.06,149.93,0.18,Aktywny
777,Formeds,Maca Bio,300,kapsułki,99.26,0.08,107.2,132.93,0.24,Aktywny
778,Pharmovit,Magnez 4 formy,30,tabletki,82.99,0.23,102.08,117.39,0.15,Nieaktywny
779,Kenay,Kolagen Type II,120,kapsułki,94.48,0.23,116.21,144.1,0.24,Aktywny
780,Formeds,Melatonina 1mg,120,tabletki,86.17,0.08,93.06,126.56,0.36,Aktywny
781,Wish,Witamina E naturalna,60,tabletki,86.61,0.08,93.54,109.44,0.17,Aktywny
782,Organis,Probiotyk 10 szczepów,30,kapsułki,70.58,0.08,76.23,106.72,0.4,Aktywny
783,Inwet Herbs,Miedź Chelatowana,300,tabletki,122.87,0.08,132.7,149.95,0.13,Nieaktywny
784,MyVita,Magnez 4 formy,30,ml,52.36,0.05,54.98,74.77,0.36,Aktywny
785,UNS,Potas,120,tabletki,146.38,0.08,158.09,208.68,0.32,Aktywny
786,UNS,Żeń-Szeń Koreański,30,kapsułki,103.89,0.23,127.78,172.5,0.35,Nieaktywny
787,Star Life,Maca Bio,500,ml,91.38,0.05,95.95,114.18,0.19,Aktywny
788,Aliness,Ginkgo Biloba,150,ml,130.67,0.05,137.2,181.1,0.32,Aktywny
789,Organis,Selen + E,500,ml,111.06,0.05,116.61,167.92,0.44,Aktywny
790,Kenay,Różeniec górski,180,tabletki,112.5,0.08,121.5,170.1,0.4,Aktywny
791,Pileje,Cynk organiczny,60,tabletki,108.19,0.23,133.07,157.02,0.18,Nieaktywny
792,HempKing,Maślan sodu,30,ml,64.64,0.05,67.87,86.87,0.28,Aktywny
793,Pharmovit,Krzem Organiczny,180,kapsułki,134.82,0.23,165.83,232.16,0.4,Aktywny
794,Solgar,Synbiotyk z Inuliną,30,tabletki,134.38,0.08,145.13,201.73,0.39,Aktywny
795,Mito-Pharma,Gotu Kola,60,kapsułki,67.17,0.08,72.54,97.2,0.34,Nieaktywny
796,Pharmovit,Cynk organiczny,300,tabletki,88.02,0.23,108.26,156.98,0.45,Aktywny
797,Pileje,Ashwagandha Extra,300,tabletki,79.34,0.23,97.59,134.67,0.38,Aktywny
798,Progress Labs,Witamina E naturalna,90,kapsułki,69.19,0.08,74.73,94.91,0.27,Aktywny
799,Pharmovit,Melatonina 1mg,30,ml,93.25,0.05,97.91,108.68,0.11,Aktywny
800,Aliness,Omega-3 z alg,30,kapsułki,68.73,0.08,74.23,94.27,0.27,Aktywny
801,Yango,Koenzym Q10,50,ml,135.88,0.05,142.67,194.03,0.36,Nieaktywny
802,Pileje,Magnez 4 formy,50,ml,111.96,0.05,117.56,141.07,0.2,Nieaktywny
803,Aliness,Probiotyk 10 szczepów,180,tabletki,60.08,0.08,64.89,75.27,0.16,Aktywny
804,Health Labs,Saccharomyces Boulardii,50,ml,66.13,0.05,69.44,100.69,0.45,Aktywny
805,Wish,Krzem Organiczny,30,kapsułki,53.33,0.23,65.6,74.13,0.13,Aktywny
806,Pharmovit,Witamina E naturalna,60,kapsułki,121.24,0.08,130.94,153.2,0.17,Aktywny
807,Invent Farm,Gotu Kola,20,ml,53.92,0.05,56.62,84.36,0.49,Aktywny
808,Aliness,Witamina E naturalna,30,kapsułki,130.78,0.23,160.86,196.25,0.22,Aktywny
809,Aliness,Omega-3 z alg,500,ml,65.44,0.05,68.71,76.27,0.11,Aktywny
810,MyVita,Gotu Kola,150,ml,134.39,0.05,141.11,179.21,0.27,Aktywny
811,Skoczylas,Potas,180,tabletki,83.41,0.23,102.59,115.93,0.13,Aktywny
812,Organis,Witamina K2 MK-7,500,ml,77.85,0.05,81.74,94.0,0.15,Aktywny
813,HempKing,Krzem Organiczny,60,tabletki,57.95,0.23,71.28,104.07,0.46,Aktywny
814,Medica Herbs,Witamina D,500,ml,84.61,0.05,88.84,114.6,0.29,Aktywny
815,UNS,Magnez 4 formy,60,tabletki,141.01,0.23,173.44,216.8,0.25,Aktywny
816,Progress Labs,Witamina E naturalna,90,kapsułki,58.32,0.08,62.99,92.6,0.47,Aktywny
817,Solgar,Omega-3 z alg,250,ml,137.7,0.05,144.59,172.06,0.19,Aktywny
818,Organis,Cynk organiczny,30,kapsułki,121.48,0.23,149.42,192.75,0.29,Aktywny
819,Medica Herbs,Kurkumina C3,300,tabletki,142.65,0.08,154.06,181.79,0.18,Aktywny
820,Solgar,Ashwagandha Extra,90,kapsułki,103.06,0.23,126.76,159.72,0.26,Aktywny
821,MyVita,Gotu Kola,30,tabletki,128.77,0.08,139.07,187.74,0.35,Aktywny
822,Aliness,Witamina C,50,ml,132.37,0.05,138.99,183.47,0.32,Aktywny
823,Solgar,Magnez 4 formy,300,tabletki,102.98,0.23,126.67,145.67,0.15,Aktywny
824,UNS,Synbiotyk z Inuliną,60,tabletki,140.86,0.23,173.26,199.25,0.15,Aktywny
825,Pileje,Maślan sodu,90,tabletki,145.3,0.23,178.72,207.32,0.16,Nieaktywny
826,Formeds,Kurkumina C3,90,kapsułki,95.2,0.23,117.1,129.98,0.11,Aktywny
827,Skoczylas,Żeń-Szeń Koreański,30,ml,85.72,0.05,90.01,103.51,0.15,Aktywny
828,Health Labs,Witamina D,30,tabletki,73.45,0.23,90.34,121.96,0.35,Aktywny
829,Diochi,Witamina K2 MK-7,300,tabletki,74.89,0.08,80.88,92.2,0.14,Aktywny
830,Progress Labs,Kurkumina C3,180,kapsułki,126.56,0.08,136.68,158.55,0.16,Aktywny
831,Solgar,Saccharomyces Boulardii,250,ml,97.55,0.05,102.43,143.4,0.4,Aktywny
832,Sanct Bernhard,Żeń-Szeń Koreański,120,tabletki,116.34,0.23,143.1,214.65,0.5,Aktywny
833,Skoczylas,Witamina C,120,kapsułki,142.11,0.23,174.8,260.45,0.49,Aktywny
834,Medica Herbs,Bacopa Monnieri,120,kapsułki,80.21,0.23,98.66,125.3,0.27,Aktywny
835,Kenay,Probiotyk 10 szczepów,500,ml,139.15,0.05,146.11,217.7,0.49,Aktywny
836,Lab One,Melatonina 1mg,300,kapsułki,91.06,0.23,112.0,166.88,0.49,Aktywny
837,Medica Herbs,Różeniec górski,90,tabletki,130.34,0.23,160.32,206.81,0.29,Aktywny
838,Health Labs,Żelazo w płynie,300,kapsułki,54.08,0.08,58.41,66.59,0.14,Aktywny
839,Mito-Pharma,Koenzym Q10,90,tabletki,147.06,0.08,158.82,222.35,0.4,Aktywny
840,Wish,Melatonina 1mg,300,tabletki,67.29,0.23,82.77,115.88,0.4,Nieaktywny
841,Kenay,Krzem Organiczny,60,kapsułki,65.84,0.23,80.98,110.13,0.36,Aktywny
842,HempKing,Żelazo w płynie,60,kapsułki,129.53,0.23,159.32,203.93,0.28,Aktywny
843,Biowen,Żelazo w płynie,60,tabletki,69.23,0.08,74.77,90.47,0.21,Aktywny
844,Organis,Melatonina 1mg,180,kapsułki,122.23,0.08,132.01,178.21,0.35,Aktywny
845,Pileje,Gotu Kola,60,kapsułki,74.61,0.08,80.58,106.37,0.32,Aktywny
846,Diochi,Ginkgo Biloba,90,kapsułki,50.98,0.23,62.71,89.05,0.42,Aktywny
847,NatVita,Witamina A,20,ml,55.08,0.05,57.83,68.24,0.18,Aktywny
848,Formeds,Omega-3 z alg,300,kapsułki,93.19,0.08,100.65,128.83,0.28,Aktywny
849,Progress Labs,Maca Bio,60,kapsułki,116.52,0.08,125.84,187.5,0.49,Aktywny
850,HempKing,Cynk organiczny,90,kapsułki,63.23,0.08,68.29,86.05,0.26,Nieaktywny
851,Progress Labs,Witamina E naturalna,60,kapsułki,53.72,0.23,66.08,77.31,0.17,Aktywny
852,Organis,Omega-3 z alg,90,tabletki,73.56,0.08,79.44,101.68,0.28,Nieaktywny
853,Inwet Herbs,Koenzym Q10,30,kapsułki,50.62,0.08,54.67,71.62,0.31,Aktywny
854,Formeds,Potas,300,kapsułki,130.57,0.08,141.02,190.38,0.35,Aktywny
855,Solgar,Magnez 4 formy,1000,ml,115.49,0.05,121.26,141.87,0.17,Nieaktywny
856,Health Labs,Żeń-Szeń Koreański,300,tabletki,93.02,0.08,100.46,149.69,0.49,Aktywny
857,Alto Pharma,Melatonina 1mg,30,kapsułki,113.8,0.08,122.9,137.65,0.12,Aktywny
858,MyVita,Selen + E,60,kapsułki,91.93,0.23,113.07,148.12,0.31,Aktywny
859,Kenay,Gotu Kola,500,ml,94.22,0.05,98.93,109.81,0.11,Aktywny
860,Aliness,Kolagen Type II,300,kapsułki,52.18,0.23,64.18,78.94,0.23,Aktywny
861,Wish,Krzem Organiczny,180,tabletki,107.37,0.23,132.07,155.84,0.18,Aktywny
862,Pharmovit,Maca Bio,20,ml,115.3,0.05,121.06,152.54,0.26,Aktywny
863,Biowen,Witamina D,150,ml,110.95,0.05,116.5,153.78,0.32,Aktywny
864,Sanct Bernhard,Witamina D,90,tabletki,141.87,0.23,174.5,223.36,0.28,Aktywny
865,Inwet Herbs,Witamina A,50,ml,121.91,0.05,128.01,192.01,0.5,Nieaktywny
866,Biowen,Koenzym Q10,250,ml,53.82,0.05,56.51,70.64,0.25,Aktywny
867,Wish,Kolagen Type II,180,tabletki,120.95,0.08,130.63,163.29,0.25,Nieaktywny
868,Kenay,Bacopa Monnieri,30,tabletki,142.89,0.08,154.32,223.76,0.45,Aktywny
869,Alto Pharma,Omega-3 z alg,60,kapsułki,76.88,0.08,83.03,98.81,0.19,Aktywny
870,Inwet Herbs,Kurkumina C3,90,kapsułki,131.45,0.23,161.68,227.97,0.41,Aktywny
871,Health Labs,Bacopa Monnieri,120,kapsułki,129.07,0.08,139.4,202.13,0.45,Aktywny
872,Kenay,Różeniec górski,90,tabletki,86.16,0.08,93.05,120.03,0.29,Aktywny
873,Aliness,Żeń-Szeń Koreański,300,kapsułki,107.12,0.23,131.76,168.65,0.28,Aktywny
874,Pharmovit,Maca Bio,120,tabletki,116.92,0.08,126.27,189.41,0.5,Nieaktywny
875,Skoczylas,Witamina C,120,kapsułki,89.29,0.08,96.43,111.86,0.16,Aktywny
876,Invent Farm,Witamina D,90,tabletki,56.69,0.23,69.73,89.95,0.29,Nieaktywny
877,NatVita,Probiotyk 10 szczepów,150,ml,131.58,0.05,138.16,153.36,0.11,Aktywny
878,Aliness,Miedź Chelatowana,500,ml,51.89,0.05,54.48,78.45,0.44,Aktywny
879,Invent Farm,L-teanina,150,ml,141.82,0.05,148.91,208.47,0.4,Aktywny
880,Organis,Żeń-Szeń Koreański,30,kapsułki,118.96,0.23,146.32,184.36,0.26,Aktywny
881,Mito-Pharma,Ashwagandha Extra,30,kapsułki,81.04,0.08,87.52,110.28,0.26,Aktywny
882,Diochi,Probiotyk 10 szczepów,60,tabletki,56.65,0.23,69.68,98.95,0.42,Nieaktywny
883,Yango,Krzem Organiczny,20,ml,67.5,0.05,70.88,103.48,0.46,Aktywny
884,Progress Labs,Witamina D,180,tabletki,99.91,0.23,122.89,153.61,0.25,Aktywny
885,Formeds,Witamina K2 MK-7,60,tabletki,146.05,0.23,179.64,202.99,0.13,Aktywny
886,Inwet Herbs,Różeniec górski,300,tabletki,76.66,0.23,94.29,117.86,0.25,Nieaktywny
887,Solgar,Różeniec górski,30,tabletki,143.24,0.08,154.7,198.02,0.28,Aktywny
888,Pharmovit,Cynk organiczny,30,kapsułki,62.44,0.23,76.8,88.32,0.15,Nieaktywny
889,Pharmovit,Potas,180,kapsułki,56.75,0.23,69.8,104.7,0.5,Nieaktywny
890,Sanct Bernhard,Żeń-Szeń Koreański,30,ml,87.51,0.05,91.89,132.32,0.44,Aktywny
891,Pileje,Miedź Chelatowana,300,tabletki,108.51,0.23,133.47,169.51,0.27,Aktywny
892,Pileje,Krzem Organiczny,30,ml,112.39,0.05,118.01,174.65,0.48,Nieaktywny
893,Skoczylas,Bacopa Monnieri,30,ml,104.41,0.05,109.63,135.94,0.24,Aktywny
894,Pharmovit,Magnez 4 formy,30,tabletki,143.5,0.23,176.5,254.16,0.44,Aktywny
895,Formeds,Saccharomyces Boulardii,120,kapsułki,112.99,0.23,138.98,201.52,0.45,Aktywny
896,Pharmovit,Krzem Organiczny,500,ml,107.15,0.05,112.51,147.39,0.31,Aktywny
897,Solgar,Selen + E,300,tabletki,51.73,0.08,55.87,75.98,0.36,Aktywny
898,Wish,Bacopa Monnieri,90,kapsułki,125.74,0.08,135.8,158.89,0.17,Aktywny
899,Formeds,Gotu Kola,20,ml,142.93,0.05,150.08,214.61,0.43,Aktywny
900,Diochi,Magnez 4 formy,150,ml,119.62,0.05,125.6,184.63,0.47,Aktywny
901,Pileje,Maślan sodu,90,kapsułki,76.28,0.08,82.38,123.57,0.5,Aktywny
902,Progress Labs,Witamina D,60,kapsułki,137.71,0.08,148.73,197.81,0.33,Aktywny
903,Inwet Herbs,Witamina A,250,ml,137.79,0.05,144.68,162.04,0.12,Aktywny
904,Sanct Bernhard,Gotu Kola,500,ml,112.66,0.05,118.29,139.58,0.18,Aktywny
905,UNS,Gotu Kola,30,kapsułki,61.51,0.08,66.43,77.72,0.17,Aktywny
906,Aliness,Cynk organiczny,180,kapsułki,143.71,0.08,155.21,200.22,0.29,Nieaktywny
907,Yango,Witamina A,150,ml,138.3,0.05,145.22,196.05,0.35,Aktywny
908,Biowen,L-teanina,60,kapsułki,100.36,0.08,108.39,155.0,0.43,Aktywny
909,Aliness,NAC 600mg,90,kapsułki,116.39,0.08,125.7,159.64,0.27,Nieaktywny
910,Wish,Kolagen Type II,30,tabletki,93.54,0.08,101.02,147.49,0.46,Aktywny
911,Pileje,L-teanina,120,tabletki,81.75,0.23,100.55,137.75,0.37,Nieaktywny
912,HempKing,Kolagen Type II,300,tabletki,119.86,0.08,129.45,174.76,0.35,Aktywny
913,Pileje,Różeniec górski,180,kapsułki,138.37,0.08,149.44,210.71,0.41,Nieaktywny
914,Sanct Bernhard,Saccharomyces Boulardii,180,tabletki,107.65,0.23,132.41,176.11,0.33,Aktywny
915,Aliness,Witamina K2 MK-7,300,kapsułki,110.63,0.23,136.07,157.84,0.16,Aktywny
916,Kenay,Żelazo w płynie,250,ml,96.82,0.05,101.66,137.24,0.35,Aktywny
917,Kenay,Miedź Chelatowana,30,tabletki,96.34,0.23,118.5,165.9,0.4,Aktywny
918,Aliness,Saccharomyces Boulardii,30,ml,55.99,0.05,58.79,84.66,0.44,Aktywny
919,MyVita,Różeniec górski,150,ml,90.17,0.05,94.68,117.4,0.24,Nieaktywny
920,NatVita,Witamina K2 MK-7,180,tabletki,148.52,0.23,182.68,224.7,0.23,Aktywny
921,Biowen,Magnez 4 formy,30,kapsułki,104.64,0.08,113.01,160.47,0.42,Aktywny
922,Mito-Pharma,Melatonina 1mg,1000,ml,115.92,0.05,121.72,165.54,0.36,Aktywny
923,Sanct Bernhard,Selen + E,150,ml,64.86,0.05,68.1,87.85,0.29,Aktywny
924,Diochi,Żelazo w płynie,20,ml,89.83,0.05,94.32,111.3,0.18,Aktywny
925,Wish,Witamina A,30,tabletki,57.43,0.23,70.64,103.84,0.47,Aktywny
926,Pharmovit,Ginkgo Biloba,60,tabletki,148.37,0.08,160.24,229.14,0.43,Aktywny
927,Kenay,Witamina A,300,tabletki,59.69,0.08,64.47,76.07,0.18,Aktywny
928,Yango,Maślan sodu,120,kapsułki,55.67,0.08,60.12,80.56,0.34,Aktywny
929,Solgar,Kolagen Type II,50,ml,134.14,0.05,140.85,187.33,0.33,Aktywny
930,Pharmovit,Probiotyk 10 szczepów,150,ml,72.58,0.05,76.21,103.65,0.36,Aktywny
931,HempKing,Krzem Organiczny,120,kapsułki,111.99,0.08,120.95,151.19,0.25,Aktywny
932,Invent Farm,Synbiotyk z Inuliną,30,tabletki,136.73,0.08,147.67,175.73,0.19,Aktywny
933,Inwet Herbs,Saccharomyces Boulardii,1000,ml,84.41,0.05,88.63,130.29,0.47,Aktywny
934,Yango,Cynk organiczny,30,kapsułki,144.05,0.08,155.57,220.91,0.42,Aktywny
935,Star Life,Selen + E,120,tabletki,91.05,0.08,98.33,119.96,0.22,Aktywny
936,Health Labs,Kurkumina C3,90,kapsułki,94.82,0.23,116.63,170.28,0.46,Aktywny
937,Biowen,Witamina E naturalna,120,tabletki,145.49,0.23,178.95,239.79,0.34,Aktywny
938,Lab One,Melatonina 1mg,120,kapsułki,77.34,0.08,83.53,111.93,0.34,Aktywny
939,Formeds,Probiotyk 10 szczepów,180,tabletki,117.93,0.08,127.36,157.93,0.24,Aktywny
940,NatVita,Bacopa Monnieri,90,kapsułki,75.15,0.23,92.43,104.45,0.13,Nieaktywny
941,HempKing,Różeniec górski,150,ml,131.89,0.05,138.48,175.87,0.27,Nieaktywny
942,Health Labs,Witamina E naturalna,1000,ml,67.17,0.05,70.53,100.15,0.42,Aktywny
943,HempKing,Saccharomyces Boulardii,180,tabletki,133.97,0.08,144.69,201.12,0.39,Aktywny
944,Progress Labs,Maślan sodu,60,tabletki,147.61,0.08,159.42,221.59,0.39,Nieaktywny
945,Invent Farm,Cynk organiczny,60,tabletki,69.46,0.23,85.44,109.36,0.28,Nieaktywny
946,HempKing,Potas,30,tabletki,133.84,0.08,144.55,198.03,0.37,Aktywny
947,Skoczylas,Omega-3 z alg,30,ml,117.28,0.05,123.14,165.01,0.34,Aktywny
948,Diochi,Omega-3 z alg,30,tabletki,132.68,0.23,163.2,233.38,0.43,Aktywny
949,Sanct Bernhard,Witamina E naturalna,180,tabletki,142.69,0.08,154.11,181.85,0.18,Aktywny
950,Formeds,Gotu Kola,30,tabletki,109.06,0.08,117.78,149.58,0.27,Aktywny
951,Medica Herbs,L-teanina,300,tabletki,138.71,0.08,149.81,202.24,0.35,Aktywny
952,Kenay,Bacopa Monnieri,30,ml,129.47,0.05,135.94,188.96,0.39,Aktywny
953,Inwet Herbs,L-teanina,120,kapsułki,110.81,0.08,119.67,154.37,0.29,Aktywny
954,Mito-Pharma,L-teanina,30,ml,141.39,0.05,148.46,204.87,0.38,Aktywny
955,Skoczylas,Witamina E naturalna,150,ml,134.32,0.05,141.04,165.02,0.17,Aktywny
956,Medica Herbs,Synbiotyk z Inuliną,120,tabletki,121.41,0.08,131.12,146.85,0.12,Aktywny
957,Sanct Bernhard,Kolagen Type II,90,kapsułki,103.3,0.08,111.56,165.11,0.48,Aktywny
958,Solgar,L-teanina,60,kapsułki,101.29,0.23,124.59,173.18,0.39,Aktywny
959,Pileje,Cynk organiczny,90,tabletki,122.83,0.23,151.08,176.76,0.17,Aktywny
960,NatVita,Kolagen Type II,120,kapsułki,81.23,0.23,99.91,118.89,0.19,Aktywny
961,Star Life,Witamina A,50,ml,143.22,0.05,150.38,169.93,0.13,Aktywny
962,Lab One,Selen + E,300,tabletki,112.27,0.08,121.25,134.59,0.11,Aktywny
963,Kenay,Maślan sodu,50,ml,88.62,0.05,93.05,136.78,0.47,Aktywny
964,Health Labs,Potas,60,kapsułki,131.33,0.23,161.54,211.62,0.31,Nieaktywny
965,Biowen,Miedź Chelatowana,20,ml,101.38,0.05,106.45,143.71,0.35,Aktywny
966,Skoczylas,Żelazo w płynie,180,kapsułki,104.07,0.08,112.4,134.88,0.2,Aktywny
967,Medica Herbs,Witamina D,120,kapsułki,57.23,0.08,61.81,85.92,0.39,Aktywny
968,HempKing,Maca Bio,120,tabletki,146.87,0.08,158.62,201.45,0.27,Nieaktywny
969,Wish,Witamina D,90,tabletki,130.03,0.08,140.43,202.22,0.44,Aktywny
970,Inwet Herbs,Witamina D,60,tabletki,67.19,0.23,82.64,107.43,0.3,Aktywny
971,Medica Herbs,Krzem Organiczny,1000,ml,131.68,0.05,138.26,183.89,0.33,Nieaktywny
972,Pileje,Żelazo w płynie,30,tabletki,52.63,0.08,56.84,67.64,0.19,Aktywny
973,Pileje,Żelazo w płynie,500,ml,90.49,0.05,95.01,138.71,0.46,Aktywny
974,Diochi,NAC 600mg,150,ml,102.43,0.05,107.55,134.44,0.25,Aktywny
975,NatVita,Witamina A,30,kapsułki,129.5,0.23,159.28,186.36,0.17,Aktywny
976,Formeds,Bacopa Monnieri,30,kapsułki,94.52,0.08,102.08,150.06,0.47,Nieaktywny
977,Skoczylas,Żelazo w płynie,120,tabletki,116.78,0.08,126.12,185.4,0.47,Aktywny
978,Formeds,Witamina A,1000,ml,94.42,0.05,99.14,134.83,0.36,Aktywny
979,Mito-Pharma,Miedź Chelatowana,120,tabletki,60.93,0.08,65.8,83.57,0.27,Aktywny
980,Progress Labs,Bacopa Monnieri,30,ml,105.42,0.05,110.69,132.83,0.2,Aktywny
981,Yango,NAC 600mg,20,ml,132.46,0.05,139.08,180.8,0.3,Aktywny
982,HempKing,Omega-3 z alg,50,ml,142.49,0.05,149.61,203.47,0.36,Aktywny
983,Kenay,Witamina A,300,tabletki,101.24,0.23,124.53,160.64,0.29,Aktywny
984,Aliness,Witamina A,90,kapsułki,98.4,0.23,121.03,176.7,0.46,Aktywny
985,Yango,Żeń-Szeń Koreański,500,ml,134.27,0.05,140.98,197.37,0.4,Nieaktywny
986,NatVita,Różeniec górski,300,tabletki,118.74,0.08,128.24,171.84,0.34,Aktywny
987,Medica Herbs,Bacopa Monnieri,250,ml,57.67,0.05,60.55,78.72,0.3,Aktywny
988,Diochi,Magnez 4 formy,180,kapsułki,140.6,0.23,172.94,209.26,0.21,Aktywny
989,Pileje,Cynk organiczny,30,ml,120.71,0.05,126.75,159.71,0.26,Nieaktywny
990,Diochi,Krzem Organiczny,300,tabletki,102.75,0.08,110.97,128.73,0.16,Aktywny
991,Mito-Pharma,Synbiotyk z Inuliną,60,kapsułki,147.65,0.08,159.46,202.51,0.27,Aktywny
992,MyVita,Selen + E,120,tabletki,149.54,0.23,183.93,213.36,0.16,Aktywny
993,Inwet Herbs,L-teanina,60,kapsułki,58.7,0.08,63.4,93.2,0.47,Aktywny
994,HempKing,Synbiotyk z Inuliną,120,tabletki,73.94,0.23,90.95,100.95,0.11,Nieaktywny
995,Pileje,Maca Bio,500,ml,90.61,0.05,95.14,134.15,0.41,Aktywny
996,Kenay,Kolagen Type II,180,kapsułki,102.17,0.23,125.67,139.49,0.11,Aktywny
997,Progress Labs,Witamina A,30,tabletki,90.08,0.08,97.29,122.59,0.26,Aktywny
998,Invent Farm,Witamina C,500,ml,136.07,0.05,142.87,165.73,0.16,Aktywny
999,Skoczylas,Magnez 4 formy,50,ml,137.09,0.05,143.94,158.33,0.1,Aktywny
1000,Pileje,Synbiotyk z Inuliną,180,kapsułki,90.23,0.08,97.45,110.12,0.13,Nieaktywny
